trap_num,branch_count,experimental,root_node_endpoints
1,1,21,1_9
2,1,18,1_10
3,2,non_int:21l,1_17
7,2,29,1_9
8,3,24,1_16
10,1,16,1_4
12,1,19,1_3
14,5,19,1_12
15,2,23,1_8
16,7,30,1_19
17,1,31,1_6
18,1,22,1_7
19,2,32,1_12
20,4,non_int:24l,1_13
22,1,non_int:6l,1_8
24,3,18,1_17
29,1,29,1_5
31,3,non_int:3l,1_15
32,2,32,1_9
33,3,30,1_33
37,1,23,1_4
38,3,46,1_18
39,3,non_int:27l,1_7
40,3,12,1_24
44,0,non_int:e,0_10
46,2,non_int:24l,1_8
52,1,33,1_4
53,1,non_int:31l,1_5
54,3,20,1_21
55,1,28,1_7
59,2,non_int:10l,1_16
60,1,4,1_7
61,1,10,1_12
62,1,20,1_6
65,1,15,1_13
66,3,21,1_12
67,1,29,1_5
72,6,15,1_12
73,1,non_int:30l,1_6
74,8,non_int:9l,1_31
78,1,non_int:25l,1_11
79,2,non_int:16l,1_16
80,1,non_int:20l,1_11
82,0,non_int:e,0_1
84,2,15,1_11
85,1,non_int:23l,1_11
86,5,18,1_18
87,2,11,1_12
89,1,19,1_7
90,1,30,1_6
91,1,24,1_9
92,2,non_int:7l,1_8
96,3,4,1_16
97,1,12,1_8
98,2,non_int:20l,1_16
99,1,non_int:12l,1_4
102,2,23,1_15
104,2,non_int:18l,1_14
