trap_num,FT_BC8_mrcnn_short_v2.csv,FT_BC8_yolo_short.csv,FT_BC8_yolo_short_v2.csv,experimental,FT_BC8_mrcnn_short_v2.csv_EndPoint,FT_BC8_yolo_short.csv_EndPoint,FT_BC8_yolo_short_v2.csv_EndPoint
1,24,22,22,21,220,221,221
2,6,5,5,18,63,63,63
3,20,17,17,non_int:21l,391,391,391
7,32,25,25,29,391,391,391
8,18,7,7,24,243,95,95
10,18,13,13,16,391,391,391
12,26,24,24,19,391,391,391
14,35,34,34,19,391,378,378
15,17,21,21,23,115,115,115
16,10,10,10,30,98,98,98
17,35,31,31,31,391,391,391
18,19,15,15,22,391,391,391
19,31,29,29,32,391,293,293
20,29,31,31,non_int:24l,391,391,391
22,7,7,7,non_int:6l,49,48,48
24,11,11,11,18,391,123,123
29,31,25,25,29,391,335,335
31,28,19,19,non_int:3l,391,391,391
32,28,33,33,32,328,391,391
33,47,30,30,30,391,238,238
37,14,12,12,23,391,391,391
38,37,36,36,46,391,391,391
39,23,21,21,non_int:27l,206,196,196
40,20,20,20,12,253,253,253
44,19,32,32,non_int:e,234,391,391
46,31,26,26,non_int:24l,391,391,391
52,29,24,24,33,391,391,391
53,43,46,46,non_int:31l,391,391,391
54,17,17,17,20,391,391,391
55,32,31,31,28,391,391,391
59,49,49,49,non_int:10l,391,391,391
60,12,12,12,4,245,204,204
61,15,15,15,10,118,118,118
62,17,15,15,20,267,267,267
65,17,15,15,15,391,385,385
66,25,21,21,21,206,176,176
67,28,24,24,29,391,391,391
72,28,25,25,15,391,391,391
73,37,32,32,non_int:30l,391,391,391
74,25,26,26,non_int:9l,391,391,391
78,4,5,5,non_int:25l,26,26,26
79,32,30,30,non_int:16l,215,214,214
80,26,27,27,non_int:20l,391,391,391
82,5,6,6,non_int:e,25,25,25
84,21,20,20,15,391,391,391
85,39,36,36,non_int:23l,391,391,391
86,22,26,26,18,391,384,384
87,11,10,10,11,148,148,148
89,3,3,3,19,17,16,16
90,4,3,3,30,21,20,20
91,29,26,26,24,391,391,391
92,46,35,35,non_int:7l,391,323,323
96,10,12,12,4,391,391,391
97,13,13,13,12,391,391,391
98,38,38,38,non_int:20l,391,391,391
99,10,13,13,non_int:12l,69,67,67
102,31,40,40,23,391,336,336
104,34,42,42,non_int:18l,391,391,391
